trade_date,prev_trade_date,ts_code,industry,name,close,pct_chg,amount_x,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,pre_close,price,amount_y,turnover_rate,auction_pct,auction_amount_yi,circ_mv_yi,prev_5d,prev_10d,high20,high60,prev_auction_pct,prev_auction_price,pct_rank,turn_rank,amt_rank,pct_pool_size,turn_pool_size,amt_pool_size,pct_rank_ratio,turn_rank_ratio,amt_rank_ratio,auction_new20,auction_new60,auction_price_ratio,daily_close,daily_open,daily_pct_chg,close_vs_auction_pct
20260410,20260409,000070.SZ,通信设备,特发信息,20.88,10.01,3590593328.0,,18555614429.76,18799198755.84,20.95,238659464.0,135848,135848,0,1/1,1,U,20.88,20.88,107210448.0,0.577779,0.0,1.07210448,185.5561443,13.170731707317064,31.65195460277428,20.88,20.88,-1.6332982086406655,18.67,29.0,14.0,5.0,50,50,50,0.58,0.28,0.1,True,True,1.1183717193358327,19.76,20.88,-5.364,-5.363984674329489
20260410,20260409,000078.SZ,医药商业,海王生物,3.84,10.03,1150325440.0,,10085533969.92,10103513333.76,11.62,47867328.0,93954,103918,1,1/1,1,U,3.84,3.71,56257486.53,0.577349,-3.385416666666663,0.5625748653,100.8553397,11.304347826086936,24.271844660194187,3.84,4.83,-0.8595988538682042,3.46,48.0,15.0,15.0,50,50,50,0.96,0.3,0.3,False,False,1.0722543352601157,3.77,3.71,-1.8229,1.617250673854449
20260410,20260409,000990.SZ,化学原料,诚志股份,11.04,9.96,1419485584.0,,13416212450.4,13416222397.44,10.91,5558640.0,112545,143409,9,2/3,1,U,11.04,10.98,27914454.0,0.209202,-0.5434782608695565,0.27914454,134.1621245,12.309257375381467,16.578669482576537,11.28,11.28,1.3944223107569709,10.18,37.0,31.0,27.0,50,50,50,0.74,0.62,0.54,False,False,1.0785854616895876,10.84,10.98,-1.8116,-1.2750455373406244
20260410,20260409,002025.SZ,军工电子,航天电器,78.22,10.0,2045586288.0,,35501813007.78,35623420468.48,5.91,173686884.0,95248,95248,0,2/3,1,U,78.22,76.66,60875706.0,0.174961,-1.994374840194324,0.60875706,355.01813008,19.657335169037783,20.190534726490483,78.22,78.22,-1.0125158205596896,70.39,46.0,33.0,13.0,50,50,50,0.92,0.66,0.26,False,False,1.0890751527205569,76.23,76.66,-2.5441,-0.5609183407252708
20260410,20260409,002039.SZ,电力,黔源电力,21.25,9.99,632817568.0,,9085584677.5,9085610220.0,7.18,73349900.0,131527,131527,0,1/1,1,U,21.25,21.0,12627300.0,0.140636,-1.17647058823529,0.126273,90.85584678,15.113759479956656,-1.116798510935313,22.82,22.82,1.0869565217391353,19.53,44.0,36.0,43.0,50,50,50,0.88,0.72,0.86,False,False,1.075268817204301,20.72,21.0,-2.4941,-1.3333333333333388
20260410,20260409,002107.SZ,中药Ⅱ,沃华医药,7.65,10.07,399872576.0,,4371164222.4,4415653440.0,9.3,56303663.0,93327,93821,1,1/1,1,U,7.65,7.77,37950234.0,0.854787,1.5686274509803866,0.37950234,43.711642219999995,13.33333333333333,22.009569377990434,7.65,7.78,-0.4316546762589968,6.92,22.0,6.0,22.0,50,50,50,0.44,0.12,0.44,True,False,1.1228323699421965,7.53,7.77,-1.5686,-3.0888030888030804
20260410,20260409,002150.SZ,通用设备,正泰电源,32.78,10.0,1254120320.0,,11753104378.84,11829279264.0,11.23,135327837.0,133800,133800,0,1/1,1,U,32.78,32.99,16300359.0,0.137807,0.6406345332519825,0.16300359,117.53104379,3.3091711314213734,-16.056338028169005,39.51,39.51,-1.0067114093959773,29.5,24.0,38.0,39.0,50,50,50,0.48,0.76,0.78,False,False,1.1183050847457627,33.43,32.99,1.9829,1.333737496210966
20260410,20260409,002281.SZ,通信设备,光迅科技,108.09,10.0,9380866816.0,,84253707734.31,87193582898.4,11.43,353510939.0,101812,132257,8,1/1,1,U,108.09,111.72,216635805.12,0.248769,3.358312517346662,2.1663580512,842.5370773399999,24.269947114279145,25.031810294968192,108.09,108.09,-2.1677182983920296,96.13,14.0,25.0,2.0,50,50,50,0.28,0.5,0.04,True,True,1.1621762197024863,107.82,111.72,-0.2498,-3.4908700322234205
20260410,20260409,002328.SZ,汽车零部件,新朋股份,9.19,10.06,815494160.0,,5245577524.24,7092566300.0,16.0,69452165.0,94818,100536,3,1/1,1,U,9.19,9.78,60754338.0,1.08833,6.420021762785644,0.60754338,52.45577524,20.921052631578952,35.946745562130175,9.19,9.19,-0.5988023952095634,8.3,9.0,3.0,14.0,50,50,50,0.18,0.06,0.28,True,True,1.178313253012048,10.11,9.78,10.0109,3.3742331288343563
20260410,20260409,002364.SZ,其他电源,中恒电气,31.93,9.99,237783349.0,,17820253056.8,17994629172.8,1.33,1042057262.0,92500,92500,0,1/1,1,U,31.93,35.12,32057536.0,0.163554,9.990604447228302,0.32057536,178.20253057,18.171724648408592,6.7892976588628695,36.49,37.37,9.989665862900443,31.93,4.0,35.0,25.0,50,50,50,0.08,0.7,0.5,False,False,1.099906044472283,35.12,35.12,9.9906,0.0
